# From https://gist.github.com/PawelGerr/cb5886ee26c41ae2386b

.123 application/vnd.lotus-1-2-3
.dp application/vnd.osgi.dp
.dpg application/vnd.dpgraph
.dra audio/vnd.dra
.dsc text/prs.lines.tag
.dsp application/octet-stream
.dssc application/dssc+der
.dsw text/plain
.dtb application/x-dtbook+xml
.dtd application/xml-dtd
.dts audio/vnd.dts
.dtsConfig text/xml
.dtshd audio/vnd.dts.hd
.dump application/octet-stream
.dv video/x-dv
.dvb video/vnd.dvb.file
.dvi application/x-dvi
.dwf model/vnd.dwf
.dwg image/vnd.dwg
.dwp application/octet-stream
.dxf image/vnd.dxf
.dxp application/vnd.spotfire.dxp
.dxr application/x-director
.ecelp4800 audio/vnd.nuera.ecelp4800
.ecelp7470 audio/vnd.nuera.ecelp7470
.ecelp9600 audio/vnd.nuera.ecelp9600
.ecma application/ecmascript
.edm application/vnd.novadigm.edm
.edx application/vnd.novadigm.edx
.efif application/vnd.picsel
.ei6 application/vnd.pg.osasli
.elc application/octet-stream
.emf application/x-msmetafile
.eml message/rfc822
.emma application/emma+xml
.emz application/x-msmetafile
.eol audio/vnd.digital-winds
.eot application/vnd.ms-fontobject
.eps application/postscript
.epub application/epub+zip
.es3 application/vnd.eszigno3+xml
.esa application/vnd.osgi.subsystem
.esf application/vnd.epson.esf
.et3 application/vnd.eszigno3+xml
.etl application/etl
.etx text/x-setext
.eva application/x-eva
.evy application/x-envoy
.exe application/x-msdownload
.exe.config text/xml
.exi application/exi
.ext application/vnd.novadigm.ext
.ez application/andrew-inset
.ez2 application/vnd.ezpix-album
.ez3 application/vnd.ezpix-package
.f text/x-fortran
.f4v video/x-f4v
.f77 text/x-fortran
.f90 text/x-fortran
.fbs image/vnd.fastbidsheet
.fcdt application/vnd.adobe.formscentral.fcdt
.fcs application/vnd.isac.fcs
.fdf application/vnd.fdf
.fe_launch application/vnd.denovo.fcselayout-link
.fg5 application/vnd.fujitsu.oasysgp
.fgd application/x-director
.fh image/x-freehand
.fh4 image/x-freehand
.fh5 image/x-freehand
.fh7 image/x-freehand
.fhc image/x-freehand
.fif application/fractals
.fig application/x-xfig
.filters Application/xml
.fla application/octet-stream
.flac audio/x-flac
.fli video/x-fli
.flo application/vnd.micrografx.flo
.flr x-world/x-vrml
.flv video/x-flv
.flw application/vnd.kde.kivio
.flx text/vnd.fmi.flexstor
.fly text/vnd.fly
.fm application/vnd.framemaker
.fnc application/vnd.frogans.fnc
.for text/x-fortran
.fpx image/vnd.fpx
.frame application/vnd.framemaker
.fsc application/vnd.fsc.weblaunch
.fsscript application/fsharp-script
.fst image/vnd.fst
.fsx application/fsharp-script
.ftc application/vnd.fluxtime.clip
.fti application/vnd.anser-web-funds-transfer-initiation
.fvt video/vnd.fvt
.fxp application/vnd.adobe.fxp
.fxpl application/vnd.adobe.fxp
.fzs application/vnd.fuzzysheet
.g2w application/vnd.geoplan
.g3 image/g3fax
.g3w application/vnd.geospace
.gac application/vnd.groove-account
.gam application/x-tads
.gbr application/rpki-ghostbusters
.gca application/x-gca-compressed
.gdl model/vnd.gdl
.generictest application/xml
.geo application/vnd.dynageo
.gex application/vnd.geometry-explorer
.ggb application/vnd.geogebra.file
.ggt application/vnd.geogebra.tool
.ghf application/vnd.groove-help
.gif image/gif
.gim application/vnd.groove-identity-message
.gml application/gml+xml
.gmx application/vnd.gmx
.gnumeric application/x-gnumeric
.gph application/vnd.flographit
.gpx application/gpx+xml
.gqf application/vnd.grafeq
.gqs application/vnd.grafeq
.gram application/srgs
.gramps application/x-gramps-xml
.gre application/vnd.geometry-explorer
.group text/x-ms-group
.grv application/vnd.groove-injector
.grxml application/srgs+xml
.gsf application/x-font-ghostscript
.gsm audio/x-gsm
.gtar application/x-gtar
.gtm application/vnd.groove-tool-message
.gtw model/vnd.gtw
.gv text/vnd.graphviz
.gxf application/gxf
.gxt application/vnd.geonext
.gz application/x-gzip
.h text/x-c
.h261 video/h261
.h263 video/h263
.h264 video/h264
.hal application/vnd.hal+xml
.hbci application/vnd.hbci
.hdf application/x-hdf
.hdml text/x-hdml
.hh text/x-c
.hhc application/x-oleobject
.hhk application/octet-stream
.hhp application/octet-stream
.hlp application/winhlp
.hpgl application/vnd.hp-hpgl
.hpid application/vnd.hp-hpid
.hpp text/plain
.hps application/vnd.hp-hps
.hqx application/mac-binhex40
.hta application/hta
.htc text/x-component
.htke application/vnd.kenameaapp
.htm text/html
.html text/html
.htt text/webviewhtml
.hvd application/vnd.yamaha.hv-dic
.hvp application/vnd.yamaha.hv-voice
.hvs application/vnd.yamaha.hv-script
.hxa application/xml
.hxc application/xml
.hxd application/octet-stream
.hxe application/xml
.hxf application/xml
.hxh application/octet-stream
.hxi application/octet-stream
.hxk application/xml
.hxq application/octet-stream
.hxr application/octet-stream
.hxs application/octet-stream
.hxt text/html
.hxv application/xml
